Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C41H7.4; -1.51551159275,F23A7.8; 0.129650049995,C43E11.9; 1.15906500387
C41H7.6; -1.12862916394,F23B12.7; -0.0534501681377,C43H6.3; 0.391787449236
C42C1.4; -2.51862392542,F23C8.5; 0.156670034512,C44B7.10; 0.622741912769
C43H6.7; -1.05940355109,F23C8.6; -0.199228221344,C44B7.1; 0.309807571038
C44B7.12; -0.509544308663,F23F1.9; 0.17934959038,C44B7.2; 0.455513452221
C44B9.3; -0.493268996224,F23H11.3; 0.13092636088,C44H4.4; 0.696141206697
C44C10.4; -1.26189547866,F25B5.6; 0.156835895396,C45G9.5; 1.72641965787
C44E4.3; -0.66271834543,F25H2.4; -0.0658614698113,C45G9.7; 0.567458801079
C45G3.5; -0.258365883675,F25H2.5; -0.153558478454,C46A5.5; 0.343947356938
C45G9.2; -0.802209973154,F25H5.5; 0.100174241984,C46A5.6; 0.575445289107
C45H4.14; -0.616745668636,F25H8.1; -0.113681155309,C46F11.3; 0.84483136939
C46C2.2; -0.736919275759,F25H8.2; 0.13894185602,C47A4.1; 2.26231104541
C46C2.7; -0.823396443921,F25H9.7; 0.0393883065368,C47F8.1; 2.14059354722
C46F11.4; -0.237807305257,F26E4.6; 0.165259346782,C47G2.3; 0.490153971234
C46F11.5; -0.412266202844,F26F4.5; -0.193394108233,C47G2.4; 0.358195408086
C47D12.8; -1.81396109082,F26F4.6; -0.163690447575,C48A7.2; 0.231365845989
C47E12.3; -0.743620889569,F26F4.9; 0.0969118377565,C48B4.11; 0.441639179253
C48B4.7; -0.701042115281,F26H11.6; 0.0727656691454,C48B4.6; 1.9305046632
C48B4.8; -2.72398636245,F27D4.1; 0.159528664346,C48B4.9; 0.827032204494
C48B6.10; -0.379676410418,F27D4.4; -0.0988544121918,C48B6.3; 0.956102881911
C48B6.2; -0.292873728884,F28B3.6; 0.193422936942,C48B6.9; 0.333506996807
C48E7.2; -0.300197676145,F28C1.1; 0.0535351601956,C49A9.10; 0.924678760522
C49F5.3; -0.342280063925,F28F8.9; -0.132766501152,C49C3.6; 0.374950795604
C50B8.3; -1.63982645929,F29G9.2; -0.130693481077,C49C3.8; 0.49924016326
C50E3.12; -0.752213003255,F30F8.1; -0.0772783308572,C49F5.6; 0.679641168472
C50F4.14; -0.518792162616,F30F8.3; 0.163084846032,C49H3.4; 1.17954548542
C52E12.1; -0.283480313881,F30F8.9; 0.0541135840635,C49H3.9; 1.22030200928
C53A5.17; -1.28687898993,F31B9.3; 0.188595649245,C50B6.3; 0.504025774411
C53D5.1; -1.00549000634,F31C3.4; 0.00556996779163,C50B8.1; 0.454594423713
C53D6.4; -0.469103058214,F31D4.2; 0.0865606089445,C50C3.1; 0.37172530938
C53D6.6; -1.44763671963,F31D4.9; -0.0109133043827,C50D2.7; 2.30792343944
C54C6.6; -2.18302877848,F32A11.1; 0.0898116721828,C50F2.2; 2.18449632828
C54G4.7; -0.452908536728,F32B6.2; 0.175712576405,C50F2.3; 1.3266511713
C54G4.9; -0.873226561019,F32D1.2; -0.176362252674,C50F4.12; 1.02751931327
C55A6.10; -0.539360237259,F32D1.5; -0.0656749772872,C50F4.16; 1.58950678123
C55A6.9; -0.31760979892,F32E10.2; -0.0789126310048,C50F7.4; 0.739045309745
C55B6.1; -1.04609130805,F32E10.6; -0.138515654416,C52A10.3; 0.559667312326
C56A3.4; -0.416814291725,F32H2.10; 0.108286481608,C52B9.4; 0.283284558085
C56A3.5; -0.292375708581,F33D4.5; 0.0398948268786,C52E12.4; 1.11969582982
C56G2.7; -0.244079392305,F33G12.2; 0.0925223528551,C53A5.16; 1.32522556588
CD4.7; -0.372148161153,F33H2.2; 0.129268834895,C53B4.4; 1.94890560782
D1005.1; -0.39167342773,F34D10.4; -0.0482425364828,C53B4.6; 0.763243866197
D1007.4; -0.91800431624,F35F11.1; -0.137308039518,C55A6.1; 0.257841098871
D1022.4; -1.08233027469,F35G12.4; -0.129028886223,C55B7.11; 0.258769820982
D1037.1; -0.31904396771,F35G2.2; 0.0822987353542,C56A3.8; 0.472312576139
D1043.1; -0.996993591936,F35H10.5; 0.0130264213508,C56C10.11; 0.370304438115
D1081.6; -0.577438213532,F36A2.9; -0.0434921145672,C56C10.7; 0.773990900823
D1081.8; -0.562739586945,F37A4.2; -0.147402692465,C56C10.9; 0.817960877968
D2005.7; -0.345235783924,F38A5.7; 0.164153516635,C56E6.9; 1.57451139136
D2013.3; -0.329435907207,F38E1.9; -0.0554528173543,C56G2.15; 0.247693666006
D2023.4; -0.668414054822,F40F8.1; -0.0250523410813,C56G2.1; 1.21739185746
D2030.1; -0.491457386327,F40F9.7; -0.0211255879223,CC8.2; 2.61760001495
D2030.7; -0.468753752102,F41C3.4; -0.111307729886,D1007.10; 0.358072598596
D2030.8; -0.514267763485,F41E6.9; 0.0513933726885,D1007.5; 0.76386548034
D2085.3; -1.45649866,F41G3.6; -0.128933080222,D1044.6; 0.705289573044
D2085.4; -1.06011443218,F42A8.3; -0.177271924712,D1046.3; 1.59010006889
D2085.5; -0.459754976735,F43D2.1; -0.150679075565,D1081.7; 0.942515109473
D2096.12; -0.891500942645,F44B9.8; 0.0539156379797,D1081.9; 0.278241064861
D2096.7; -0.601512969592,F44E2.3; 0.117261354663,D2005.3; 0.390072350322
DC2.3; -0.4350602951,F44E5.1; 0.0998579658357,D2007.1; 0.635172802066
DY3.8; -0.364029080544,F44E7.4; 0.128462825873,D2013.6; 0.350914105056
E01A2.1; -1.62707084575,F44E7.9; -0.122644009741,D2023.6; 1.4529382249
E01B7.1; -1.47739971511,F44G4.1; 0.176503374009,D2030.11; 0.284731076951
E01G4.3; -1.47156044282,F44G4.2; -0.0716376045702,D2030.3; 1.61256520982
E01G4.5; -1.78936011639,F45H11.3; 0.102224707573,D2030.4; 0.302715382275
E01G4.7; -9.1638055227,F46B6.5; 0.0709454789199,D2085.6; 0.313501627983
E02D9.1; -0.528571334159,F46H5.2; -0.0186974128378,D2092.5; 0.953073727081
E04A4.5; -0.322914295473,F47D12.9; 0.109386213046,D2096.8; 0.277554377582
EEED8.10; -0.481197662988,F48E3.3; -0.0686293679974,E01A2.2; 0.455737981731
EEED8.12; -3.62322596833,F49C12.11; -0.194590250401,E01A2.5; 1.25477498532
EEED8.15; -1.99436872613,F49C12.12; 0.171677609879,E01A2.6; 0.205153018789
EEED8.4; -2.25661007798,F49C12.9; 0.169007708595,E02H1.1; 0.678086304931
F01D4.5; -0.31267983623,F49E8.1; -0.0234768965092,E02H1.5; 0.955022097906
F01F1.11; -0.724380428169,F49E8.2; -0.0116333658435,E02H1.8; 0.973653159869
F01F1.9; -2.17876303393,F49E8.7; 0.0755422777983,EEED8.14; 0.422559009225
F02E9.10; -1.88445909821,F52A8.1; -0.195189540721,EEED8.16; 0.59108878586
F02H6.2; -1.3675545384,F52A8.6; -0.175514341236,EGAP2.1; 1.21258390536
F02H6.3; -0.574203733592,F53B3.5; -0.0854522303959,F01F1.15; 0.448949028181
F02H6.4; -0.215380374841,F53C11.3; 0.123196272949,F01F1.2; 0.276354521618
F07H5.5; -1.58051663501,F53E4.1; 0.0365073775681,F01G4.4; 1.34829933641
F08C6.2; -0.904516025386,F53F4.10; 0.0130224665666,F02A9.4; 0.5376530157
F08F8.10; -0.258087522471,F53F4.14; 0.145046890269,F02E8.4; 0.519050426115
F08F8.7; -0.643980184425,F53H2.4; -0.0501360338328,F02E9.1; 1.63624675486
F08F8.9; -0.323837476606,F54A3.5; -0.0325173701517,F02E9.7; 0.660645515155
F08G12.2; -0.824529762401,F54C4.4; -0.0103857349534,F07F6.4; 0.811650838802
F08H9.3; -8.12341604134,F54D10.5; -0.0166265695773,F07H5.10; 0.322627843416
F09A5.4; -0.361678725895,F54D5.12; -0.00744707028181,F08B6.3; 1.61233382321
F09D1.1; -0.61929513038,F54D5.9; -0.162625077557,F08F3.6; 0.272331272578
F09E5.2; -0.589164555413,F54D7.6; -0.0171436702962,F09E5.3; 3.63477845504
F09E5.7; -1.62480949687,F54D8.6; -0.164368338628,F09E8.2; 1.58385097396
F09F7.4; -0.483947643621,F54H12.5; -0.102855625135,F09F7.3; 0.783827871075
F09G8.3; -1.12657693255,F55A11.1; -0.136259515595,F09G2.2; 0.730406564212
F10C2.4; -1.01902355145,F55A12.5; -0.144871560349,F09G2.8; 0.791266982827
F10D11.2; -0.84041590153,F55A3.3; 0.117216824365,F10D7.5; 0.2464824587
F10G2.4; -3.47433108984,F55C5.8; -0.134423356562,F10E7.6; 0.827715890905
F11A10.5; -0.241350945785,F55F8.2; 0.0558359386206,F10E9.11; 0.660964437205
F11A10.6; -0.588443244925,F56A6.4; 0.059559675766,F10E9.3; 0.38317827188
F11C1.7; -0.588790659961,F56C9.6; 0.0565835661761,F10E9.4; 1.16685090719
F11E6.7; -0.652376840033,F56D5.5; 0.196901700081,F10G7.5; 0.345361251776
F11G11.5; -0.375896628179,F57C2.5; -0.146208120994,F10G8.9; 6.1971310846
F12F6.1; -0.218867821089,F57C9.4; 0.0889502948871,F11A10.7; 0.51442511651
F13B12.1; -0.324917230712,F59E12.11; 0.00717944125239,F12A10.8; 1.7398360713
F13B12.6; -1.44901326201,F59E12.1; -0.0761199848492,F12E12.1; 0.603688301523
F13E6.5; -0.681067015677,H02I12.5; 0.133046390979,F13D12.5; 0.332497116666
F13G3.7; -0.49095013461,H14A12.3; -0.0457830500334,F13E6.1; 0.204830689901
F13H10.3; -0.605123281905,H19N07.3; 0.12700417313,F13E9.1; 0.994884246775
F13H10.4; -0.355702654331,H25P19.1; 0.135750333359,F13H10.8; 0.36943047993
F14B6.3; -5.69584508558,H28O16.1; -0.0624123935856,F13H8.2; 0.990231434563
F14B8.2; -1.59617307077,H35B03.2; 0.19455392074,F14B4.2; 0.903987930597
F14D2.11; -1.74194859834,H43I07.1; 0.13146325661,F14B4.3; 1.06339811417
F14H3.4; -1.93500484207,H43I07.2; -0.0513412041518,F14D7.2; 0.55262624982
F14H3.5; -0.494137129015,K01G5.8; 0.188752619282,F15B10.1; 3.50997554191
F14H3.6; -1.44461868751,K01G5.9; 0.181528142726,F15D3.6; 0.224335823052
F15A4.10; -1.48659250598,K02B2.1; -0.0157674257671,F15D4.2; 0.211822957217
F15A4.2; -1.41690395928,K03B4.2; -0.18175591342,F16A11.2; 0.337593044428
F15C11.2; -1.6563588936,K04C2.3; -0.0780515013454,F16D3.4; 0.958238897358
F16A11.1; -1.44263208952,K04F10.3; -0.173564183742,F17A9.2; 1.12956426761
F16B12.6; -0.780354978598,K04F10.7; 0.0538189122612,F17C11.7; 0.564604169043
F17C11.10; -0.317355918825,K05C4.7; -0.102040717477,F17H10.1; 0.687774751569
F18A1.8; -0.344237258434,K06H7.3; 0.0525344543692,F18A1.6; 0.943456221099
F18A11.3; -0.538517922328,K07B1.7; -0.171564503718,F18C12.3; 0.479592734994
F18E3.11; -9.7992394357,K07C5.6; 0.0442439189984,F19B10.2; 0.282099233843
F18E3.13; -8.74115931761,K07H8.10; 0.150078007554,F19F10.11; 2.00493445987
F18H3.4; -2.13594564749,K08F11.5; 0.0767868323291,F19F10.12; 0.966710345722
F19B6.1; -0.767529942195,K09C4.10; 0.160645991028,F20D1.3; 0.528261096596
F19F10.10; -0.272180590511,K10C8.3; 0.000751263623607,F20D1.9; 0.503561156513
F20D1.1; -1.21023012039,K10D2.5; -0.00754735381289,F21F3.7; 0.388367265045
