Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F21D5.6; -0.325689118908,F26A1.1; -0.108229511292,F13G3.10; 1.60042384315
F21F3.4; -0.392555505844,F26A3.1; 0.129983641494,F13G3.11; 1.06687641252
F21F3.7; -0.640484088955,F26A3.7; 0.115683864833,F13H10.8; 0.597346595622
F21G4.4; -0.489411531648,F26E4.4; -0.0339441685598,F13H8.2; 0.865696796248
F21H12.1; -0.360726356378,F26F4.12; -0.0794161334657,F14B4.2; 0.317740535963
F22B5.10; -0.213457275848,F26F4.6; -0.146830818764,F14B8.2; 0.812733452045
F22D3.2; -1.24538321263,F26G1.1; -0.0936030602093,F14D2.15; 0.867045884075
F22D6.9; -0.415825957332,F26G5.1; -0.166474778198,F15B10.1; 0.310893231576
F23F1.5; -0.730968143334,F26H9.2; 0.0197295629236,F15D3.7; 0.347018984819
F23H11.4; -0.327832245475,F27D4.4; 0.091901615475,F15D4.2; 0.34056631053
F25B4.2; -0.725756305503,F28B3.5; -0.0996491590018,F16A11.2; 1.33464261755
F25B5.2; -0.411210444638,F28C1.1; -0.0462233844245,F16D3.4; 0.369589043597
F25B5.5; -0.33509437001,F29B9.2; 0.00859383210509,F17A9.2; 0.339246995696
F25E5.1; -0.383487548333,F29G9.2; -0.0896541391711,F17H10.1; 1.30221040966
F25G6.9; -0.325538909133,F30A10.1; -0.00679937984783,F18A1.6; 0.693345757853
F25H2.4; -0.296838030906,F30B5.4; -0.0784454461685,F18A11.3; 0.395873365797
F25H2.7; -0.759271751971,F30F8.1; 0.166912291353,F18C12.3; 0.382187903871
F25H5.5; -0.330292310196,F30F8.5; -0.181774232777,F18H3.1; 0.500555511065
F25H9.2; -0.904814772206,F30F8.9; -0.141733269015,F19B10.10; 0.375809494316
F25H9.6; -0.347027795087,F32A5.9; -0.111153498518,F19B10.1; 0.666850494705
F25H9.7; -0.245549981969,F32A7.4; 0.140534559514,F19F10.11; 0.63612827854
F26F4.5; -0.216566801839,F32D1.5; 0.103208271442,F19F10.12; 0.777610309561
F26F4.9; -0.221064357789,F32D1.7; 0.126546683907,F20A1.9; 0.565797001076
F26H9.4; -0.877263331373,F32D8.5; -0.0606030513831,F20D1.1; 0.366369962522
F26H9.5; -0.390511254749,F32E10.6; 0.192947212278,F20D6.11; 1.28794776597
F27C1.2; -0.210973854519,F32H2.10; 0.00695536273715,F20G2.2; 0.29323481188
F27D4.7; -1.49949076564,F33D11.10; 0.0125454135609,F20H11.1; 1.02067328776
F28B3.4; -1.14426456444,F33D4.4; 0.0580668553663,F21D5.8; 1.75983063427
F28B3.6; -1.07508105333,F33D4.8; -0.045426614559,F22E5.17; 0.799559428898
F28C1.3; -0.75971184208,F33G12.2; -0.0146608647502,F22F7.1; 1.27546937343
F28C10.3; -0.804996378571,F33G12.3; -0.19572079587,F23A7.4; 0.649494905561
F28C6.2; -0.73978201768,F33H1.3; -0.0648017610122,F23A7.8; 0.659220146762
F28C6.4; -0.933147388352,F33H1.4; 0.17830944726,F23B12.7; 0.360864805215
