Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
D2030.7; -1.34859987553,W02D7.6; -0.121083603333,C41H7.6; 0.967853764764
D2030.8; -0.531973808805,W04D2.6; 0.0103597447937,C42C1.10; 0.726280031722
D2085.3; -0.660106385425,W09C3.4; -0.0370453240277,C42C1.11; 1.70653928663
E01A2.2; -0.751011562388,WBGene00235102; -0.116784697653,C42C1.12; 2.3785453241
E01A2.5; -0.390866937402,Y105C5B.19; 0.0215549717867,C42C1.8; 0.408969042417
E01G4.5; -7.21147136673,Y105E8A.2; 0.0955117830661,C43E11.12; 1.09124381748
E01G4.7; -9.26341193152,Y105E8A.8; -0.0603609676672,C44E4.4; 0.961789689627
E02H1.1; -3.3554688342,Y106G6H.16; -0.0260893571038,C45G9.7; 1.74345400646
E04D5.1; -0.293072953133,Y106G6H.6; -0.04143204135,C45H4.14; 0.792139508392
EEED8.12; -4.32739249766,Y108G3AL.2; 0.166848347839,C46A5.5; 1.15557399563
EEED8.3; -0.216153313443,Y110A2AR.1; 0.0466914766674,C46F11.3; 1.87300223002
EEED8.4; -6.49355534197,Y110A7A.4; -0.00185972400596,C47A4.1; 1.01415835076
F01F1.15; -0.444167288748,Y18D10A.16; -0.032621564592,C47B2.2; 0.990387692484
F01F1.1; -1.26528752396,Y23H5A.3; 0.0440093336165,C47D12.2; 0.598019712733
F01F1.2; -0.605704942536,Y24F12A.1; 0.0921211275099,C47E12.2; 0.865917413553
F02A9.4; -1.56815275323,Y25C1A.8; -0.106933587643,C47G2.3; 1.9667969915
F02D10.6; -0.268263486808,Y37E11B.6; 0.00520051911488,C48A7.2; 0.84768386829
F02E8.4; -0.542815173837,Y37H2A.1; -0.104242788061,C48B4.11; 1.25370748268
F02E9.7; -1.37271177911,Y38A10A.7; -0.115953040303,C48B4.8; 1.94051511535
F07H5.5; -0.80307689198,Y38E10A.24; -0.0531013876266,C48B4.9; 0.783871250153
F08F8.2; -0.86701418358,Y39A1A.6; 0.142293726933,C48B6.2; 2.4160166598
F08F8.7; -2.69663432067,Y41D4B.11; -0.182934190337,C48B6.3; 2.02730145492
F08G12.2; -0.413372154234,Y41E3.11; 0.0795424024781,C48E7.11; 1.80441817545
